timestamp_utc,run_id,script,stage,split,experiment_name,dataset_root,train_split,val_dataset_root,val_split,model_name,encoder_name,encoder_weights,pretrained_model_name,img_size,batch_size,epochs,lr,num_workers,seed,augmentation_profile,foreground_crop_prob,foreground_crop_min_scale,foreground_crop_max_scale,aux_negative_root,aux_negative_split,aux_negative_repeat,aux_negative_augmentation_profile,loss_name,pos_weight,tversky_alpha,tversky_beta,tversky_gamma,checkpoint_path,init_checkpoint_path,best_epoch,dataset_size,eval_threshold,postprocess_min_area,postprocess_max_fill_ratio,postprocess_min_aspect_ratio,postprocess_max_components,metric_loss,metric_iou,metric_f1,metric_precision,metric_recall,command
2026-04-25T17:41:43Z,2026-04-25T17:41:43Z_26771,test.py,test,test,segformer_crack500_default_eval,CRACK500,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,1124,,,,,,0.38318043236630667,0.5854398979411006,0.7331430727476751,,,test.py --dataset-root CRACK500 --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --experiment-name segformer_crack500_default_eval
2026-04-25T17:42:00Z,2026-04-25T17:42:00Z_26992,test.py,test,test,segformer_crack500_filtered_eval,CRACK500,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,1124,,,,,,0.38318043236630667,0.5398647985636552,0.6931222723896393,,,test.py --dataset-root CRACK500 --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85 --experiment-name segformer_crack500_filtered_eval
2026-04-25T18:19:13Z,2026-04-25T18:19:13Z_34657,test.py,test,test,segformer_b2_plain_360,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,315,,,,,,0.9390061639604115,0.20101692313476213,0.30729256897928225,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85
2026-04-25T20:13:30Z,2026-04-25T20:13:30Z_57918,test.py,test,test,segformer_uav_holdout_raw,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,63,,,,,,0.9582897027333578,0.1442017995175861,0.24764221859356714,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --experiment-name segformer_uav_holdout_raw
2026-04-25T20:24:59Z,2026-04-25T20:24:59Z_60272,test.py,test,test,segformer_uav_holdout_deploy,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,,,63,,,,,,0.9582897027333578,0.1783793360467941,0.2899941669570075,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_plain_360.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85 --experiment-name segformer_uav_holdout_deploy
2026-04-25T20:25:24Z,2026-04-25T20:25:24Z_60559,test.py,test,test,unet_uav_holdout_raw,UAV_Crack_Segmentation_Kaggle,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,16,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_aug_mild_360_fgcrop.pth,,,63,,,,,,1.080238794523572,0.12842452715313624,0.22440510231351096,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name Unet --checkpoint-path checkpoints/unet_ablate_aug_mild_360_fgcrop.pth --batch-size 16 --img-size 360 --experiment-name unet_uav_holdout_raw
2026-04-25T20:25:33Z,2026-04-25T20:25:33Z_60766,test.py,test,test,unet_uav_holdout_deploy,UAV_Crack_Segmentation_Kaggle,,,,Unet,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,16,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/unet_ablate_aug_mild_360_fgcrop.pth,,,63,,,,,,1.080238794523572,0.1365783857920813,0.23513549708184742,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name Unet --checkpoint-path checkpoints/unet_ablate_aug_mild_360_fgcrop.pth --batch-size 16 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85 --experiment-name unet_uav_holdout_deploy
2026-04-25T21:10:41Z,2026-04-25T21:10:41Z_64801,train.py,val_best,val,segformer_b1_negbank_uavval,CRACK500,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,30,0.0001,0,,baseline,0.0,0.55,1.0,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,20,63,,,,,,0.6247108938202025,0.3418833174639278,0.4812089606883034,,,train.py --dataset-root CRACK500 --val-dataset-root UAV_Crack_Segmentation_Kaggle --val-split val --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --epochs 30 --lr 1e-4 --augmentation-profile baseline --aux-negative-root generated/uav_hard_negatives_segformer_b2_train_thr080 --aux-negative-split train --aux-negative-repeat 2 --experiment-name segformer_b1_negbank_uavval
2026-04-25T21:38:47Z,2026-04-25T21:38:47Z_75658,test.py,test,test,segformer_b1_holdout_raw,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6285756973047105,0.32220665897641865,0.46766081405064414,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --experiment-name segformer_b1_holdout_raw
2026-04-25T21:39:00Z,2026-04-25T21:39:00Z_76015,test.py,test,test,segformer_b1_holdout_deploy,UAV_Crack_Segmentation_Kaggle,,,,segformer-b2,resnet34,imagenet,nvidia/segformer-b2-finetuned-ade-512-512,360,8,,,0,,,,,,,,,,bce_dice,,0.3,0.7,1.33,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,,,63,,,,,,0.6285756973047105,0.3165628569466727,0.4469096424087646,,,test.py --dataset-root UAV_Crack_Segmentation_Kaggle --split test --model-name segformer-b2 --checkpoint-path checkpoints/segformer_b2_b1_negbank.pth --batch-size 8 --img-size 360 --eval-threshold 0.9 --postprocess-min-area 20 --postprocess-max-fill-ratio 0.85 --experiment-name segformer_b1_holdout_deploy
