stage_key,stage_label,checkpoint_path,threshold,crack500_iou,crack500_f1,crack500_precision,crack500_recall,kaggle_iou,kaggle_f1,kaggle_precision,kaggle_recall,crack500_iou_retention_ratio,crack500_f1_retention_ratio,crack500_iou_delta_vs_source,crack500_f1_delta_vs_source,kaggle_iou_gain_vs_source,kaggle_f1_gain_vs_source,kaggle_iou_ci_low,kaggle_iou_ci_high,kaggle_f1_ci_low,kaggle_f1_ci_high,kaggle_precision_ci_low,kaggle_precision_ci_high,kaggle_recall_ci_low,kaggle_recall_ci_high,crack500_skeleton_iou,crack500_skeleton_f1,kaggle_skeleton_iou,kaggle_skeleton_f1,kaggle_skeleton_iou_ci_low,kaggle_skeleton_iou_ci_high,kaggle_skeleton_f1_ci_low,kaggle_skeleton_f1_ci_high
source_only,Source-only @ 0.5,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,0.5,0.5988213302112677,0.7490784853766347,0.6968417729216739,0.8097813868067093,0.13942230789380147,0.24472455370987176,0.14456309411068388,0.7967755934976614,1.0,1.0,0.0,0.0,0.0,0.0,0.09823089991061415,0.1929255203268404,0.17888933905997792,0.3234493973422186,0.10139643878613948,0.20082305143903442,0.7344302509878515,0.8440511548162682,0.07133722335289987,0.13317417111532404,0.10119523329068864,0.18379162972044527,0.08449875878713414,0.11941208279992067,0.1558300700537504,0.21334785390111388
b1_promoted,B1 promoted TS-bank @ 0.6,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_tsbank_thr080_mean082.pth,0.6,0.5744805066545063,0.7297397512721998,0.7259797215104616,0.7335389320678484,0.38315386972312776,0.5540292777383624,0.49841333097548096,0.623616099875127,0.9593521100055441,0.9741833005726878,-0.02434082355676137,-0.019338734104434874,0.2437315618293263,0.30930472402849063,0.3035171999740253,0.4591618754729964,0.46568959708503044,0.6293501535838708,0.3983288423759123,0.6018101559502749,0.5306629530199646,0.696403865501047,0.0693310657073605,0.1296718442591774,0.10174469689715715,0.1846974116117231,0.0831890694494123,0.11944134607199126,0.15360027493737693,0.21339455833539564
b1_legacy,B1 legacy raw @ 0.7,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_negbank.pth,0.7,0.5792295729765641,0.7335596836434704,0.768278002470531,0.7018435246774717,0.3539247671585839,0.5228130480247227,0.49661028214834496,0.5519349209175345,0.9672827999834416,0.979282809430361,-0.019591757234703633,-0.015518801733164334,0.21450245926478242,0.27808849431485094,0.2613472041528309,0.45256870959451245,0.41439375810507617,0.6231288151504442,0.3582334302491483,0.64109671991113,0.4275437470874885,0.664518044590168,0.07214757522810727,0.13458515766796414,0.11884436858777025,0.21244128658800598,0.09543432171599435,0.14170005316191933,0.17424015262091688,0.24822641036705193
b2_fs05,B2 fs05 @ 0.5,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs05_seed42.pth,0.5,0.5458258811397327,0.7061932236990134,0.7562194989971425,0.6623750509423342,0.5164707094412548,0.681148282290955,0.6305004008895714,0.7406439579336777,0.9115003985365085,0.9427493079632921,-0.05299544907153497,-0.0428852616776213,0.37704840154745334,0.43642372858108325,0.4671673286554146,0.5590367215201671,0.6368289690294279,0.7171565797746281,0.5692980251173503,0.6827045524361369,0.6967125815559728,0.7798503200782413,0.07315243365931252,0.13633185997533376,0.19340725481623633,0.3241261589920447,0.17884168996424507,0.20850558824526447,0.3034193504934361,0.34506350696483723
b2_fs10,B2 fs10 @ 0.5,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs10_seed42.pth,0.5,0.5280707861340457,0.6911601097617037,0.7584685918197853,0.6348241574584201,0.5506032657090485,0.710179422273141,0.685245282373622,0.7369966481709249,0.881850327455335,0.9226804977774662,-0.07075054407722203,-0.05791837561493096,0.411180957815247,0.46545486856326923,0.5007144587371218,0.593521061606818,0.6673014387523917,0.7449177496363204,0.6269937431049485,0.7305897439358836,0.6886524202108895,0.7789222386800329,0.07213790606528371,0.13456833427263856,0.21462725240337704,0.35340430896981784,0.19767690902643198,0.23232409890972852,0.33010055968066887,0.37705032159026713
b2_fs20,B2 fs20 @ 0.5,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs20_seed42.pth,0.5,0.5172939182636038,0.6818638261670235,0.7381057315039334,0.6335860709559207,0.576406145627412,0.731291421598847,0.6757669023982037,0.7967571261064575,0.8638535271966673,0.9102702046290705,-0.08152741194766389,-0.06721465920961123,0.4369838377336105,0.4865668678889752,0.5236059884437091,0.6238489733422481,0.6873246656574035,0.7683583672869947,0.6105181369415887,0.7329078218276719,0.7610025902781115,0.8277836674601022,0.0709510804567529,0.1325010670442707,0.2491762767881847,0.3989449390152957,0.23103754089842043,0.2667901667095244,0.3753541759217022,0.421206563936921
