stage_key,stage_label,checkpoint_path,threshold,num_images,num_bootstrap,iou,iou_ci_low,iou_ci_high,f1,f1_ci_low,f1_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high
b1_selected,B1 selected,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_tsbank_thr080_mean082.pth,0.6,53,5000,0.12258716185821275,0.10128252509070601,0.1426908433957178,0.21840114696358162,0.183935589244746,0.24974531685784968,0.18243954490541542,0.1374276790637025,0.2288241432145198,0.2720205177950098,0.23297258423592565,0.32102599945790533
b2_fs05,B2 fs05,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs05_seed42.pth,0.5,53,5000,0.13715959683673007,0.11125636044750951,0.15955425538748547,0.24123192068777488,0.2002352728818817,0.27519929242043506,0.19309268562353116,0.1437664517404776,0.24329472732510185,0.32134536462568286,0.28306492300849123,0.36172268921282635
b2_fs10,B2 fs10,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs10_seed42.pth,0.5,53,5000,0.13892787558480044,0.11868321081544755,0.15798313516530943,0.24396255208604098,0.2121837704633521,0.2728591295196694,0.23672559994354175,0.18113317084641894,0.2923770091269876,0.25165594054305657,0.22066875748063683,0.28873357623955703
b2_fs20,B2 fs20,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs20_seed42.pth,0.5,53,5000,0.12484719068316098,0.10286424754195292,0.14474230105113034,0.2219807129665972,0.18654017982186683,0.2528818947263109,0.19960777569843247,0.14842893310918784,0.25169621136153425,0.25000206932029256,0.21533849798650223,0.28932774365536257
source_only,Source-only,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,0.5,53,5000,0.07734374392407511,0.05820816828054861,0.09610197889898794,0.14358229554916477,0.11001269885800828,0.1753522587141458,0.08481146359162296,0.061953293305759015,0.10899224046352511,0.46763169198369975,0.4178954448277442,0.5193958961008558
