stage_key,stage_label,checkpoint_path,threshold,num_images,num_nonempty_gt,num_empty_gt,tp,fp,fn,tn,iou,f1,precision,recall,mean_image_iou,median_image_iou,mean_image_f1,median_image_f1,mean_image_iou_nonempty_gt,median_image_iou_nonempty_gt,mean_image_f1_nonempty_gt,median_image_f1_nonempty_gt,model_load_sec,runtime_total_sec,predict_total_sec,mean_image_runtime_sec,median_image_runtime_sec,mean_image_predict_sec,median_image_predict_sec,mean_patch_latency_ms,median_patch_latency_ms,mean_patches_per_sec,median_patches_per_sec,global_patches_per_sec,mean_megapixels_per_sec,median_megapixels_per_sec,global_megapixels_per_sec,global_runtime_megapixels_per_sec,total_patches,total_megapixels,peak_gpu_allocated_mb,peak_gpu_reserved_mb,peak_process_rss_mb,peak_process_hwm_mb
source_only,Source-only,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_plain_360.pth,0.5,53,47,6,2655373,28654505,3022820,611884006,0.07734239237475599,0.14357996663302608,0.08480943298469576,0.46764401984927245,0.06557973391605916,0.054234144521493825,0.11623279207666619,0.10288823370658357,0.07395161484151354,0.05747513932993361,0.13107102085241082,0.10870258258052777,2.8394578639999963,69.03170394198969,59.75244173302781,1.3024849800375413,1.2657180270034587,1.1274045610005248,1.0947838669962948,12.81141546591505,12.440725761321533,79.59192997297694,80.38116257726863,78.05538760806827,11.027794736735846,11.137146214487707,10.814900366536946,9.36115823742441,4664,646.2167039999999,1871.84814453125,2162.0,1446.515625,1548.8203125
b1_selected,B1 selected,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b1_tsbank_thr080_mean082.pth,0.6,53,47,6,1544627,6921776,4133566,633616735,0.12258974605413711,0.2184052481951411,0.18244194140061606,0.27202791451435343,0.09777965639331934,0.08598587280071385,0.16695582635213232,0.15835541686920798,0.11026216572012605,0.11518731596179886,0.188269336099213,0.20657931508565444,1.0147030370135326,63.00351100898115,53.97388669998327,1.1887454907354933,1.1424438809917774,1.0183752207544012,0.9751194239943288,11.572445690390925,11.080902545390101,87.03989238968909,90.2453564503211,86.41215752953077,12.059741075595962,12.503871525864417,11.972765785647974,10.256836383418088,4664,646.2167039999999,1872.25048828125,2164.0,1446.9765625,1549.046875
b2_fs05,B2 fs05,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs05_seed42.pth,0.5,53,47,6,1824669,7624736,3853524,632913775,0.13716295110648188,0.24123710849534738,0.19309882474081702,0.32134677352460544,0.10410951372719845,0.10838210182529551,0.17739066089864228,0.1955681197789295,0.11740008994769187,0.11622647212820969,0.20003627718357528,0.20824890831806026,0.8983863970061066,59.22907236000174,50.379060399049195,1.117529667169844,1.1107577170041623,0.9505483094160225,0.9447203899908345,10.801685334272983,10.735458977168575,92.633440434175,93.14925445914612,92.57814582202934,12.834750548360395,12.906218738560614,12.827089248615602,10.910464713548334,4664,646.2167039999999,1872.25048828125,2164.0,1446.8828125,1549.046875
b2_fs10,B2 fs10,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs10_seed42.pth,0.5,53,47,6,1429038,4607291,4249155,635931220,0.13893736065313017,0.2439771763628085,0.23673958129187458,0.2516712623188398,0.1047448629569641,0.12740998786454047,0.17969549703487805,0.22602245720010228,0.11811654758976806,0.13418714360455658,0.20263534772018163,0.23662257919464127,0.885932473000139,57.92236964996846,49.157612093084026,1.0928748990560087,1.0922548880043905,0.9275021149638496,0.9250516290048836,10.539796760952834,10.51195032960095,94.89543126802278,95.12982545056998,94.8784898495136,13.1481588376244,13.180635131810174,13.145811533244025,11.156599909588675,4664,646.2167039999999,1872.25048828125,2164.0,1446.23828125,1549.046875
b2_fs20,B2 fs20,/home/jakeguan/dev/crack-detection/checkpoints/segformer_b2_b2_fs20_seed42.pth,0.5,53,47,6,1419549,5692138,4258644,634846373,0.12484676127722227,0.22198003421455087,0.1996079130029204,0.250000132084274,0.09551178991864838,0.09994361432196222,0.16470287766056524,0.18172497757272843,0.10770478437634817,0.11164177288352144,0.18572877693638207,0.20085926169170565,0.7566974640067201,57.433635652952944,48.60845699002675,1.0836535028859047,1.0844156719977036,0.917140697925033,0.9178513289953116,10.422053385511738,10.430128738583086,95.97911720135811,95.8760936766585,95.95038165800936,13.298308055465556,13.284033715292773,13.294326625767766,11.251537477181714,4664,646.2167039999999,1872.25048828125,2164.0,1446.42578125,1549.046875
